0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:38:26 -0300] "GET /APS5CC/Ocorrencias.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:38:26 -0300] "GET /APS5CC/js/angular.mim.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:38:26 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:38:26 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:06 -0300] "GET /APS5CC/fichaView?acao=c&dado=4 HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:10 -0300] "GET /APS5CC/fichaS?dado=4&acao=Confirma HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:17 -0300] "GET /APS5CC/Ocorrencias.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:17 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:17 -0300] "GET /APS5CC/js/angular.mim.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:17 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:25 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11533
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:53 -0300] "GET /APS5CC/Ocorrencias.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:53 -0300] "GET /APS5CC/js/angular.mim.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:53 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:39:53 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:40:08 -0300] "GET /APS5CC/fichaView?acao=c&dado=2 HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:40:27 -0300] "GET /APS5CC/fichaView?acao=V&dado=5 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:40:34 -0300] "GET /APS5CC/fichaView?acao=V&dado=10 HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:40:44 -0300] "GET /APS5CC/Relatorios.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:00 -0300] "GET /APS5CC/RelatorioS?dataInicial=2018-06-01&dataFinal=2018-07-31&acao=OxEL&action= HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:02 -0300] "GET /APS5CC/Relatorios.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:03 -0300] "GET /APS5CC/Cadastrar.jsp HTTP/1.1" 200 5523
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:03 -0300] "GET /APS5CC/CadGrupo.jsp HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:03 -0300] "GET /APS5CC/CadAtividade.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:03 -0300] "GET /APS5CC/CadAgente.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:03 -0300] "GET /APS5CC/CadEmpresa.jsp HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:05 -0300] "GET /APS5CC/QuemSomos.jsp HTTP/1.1" 200 4334
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:41:14 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11533
192.168.15.2 - - [04/Jul/2018:12:42:18 -0300] "GET /APS5CC/Ocorrencias.jsp HTTP/1.1" 200 8331
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/css/style.css HTTP/1.1" 200 853
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/js/angular.mim.js HTTP/1.1" 404 1105
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/css/style2.css HTTP/1.1" 200 907
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/css/materialize.css HTTP/1.1" 200 178628
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/img/lista.jpg HTTP/1.1" 200 61130
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/js/materialize.min.js HTTP/1.1" 200 179205
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/js/init.js HTTP/1.1" 200 164
192.168.15.2 - - [04/Jul/2018:12:42:19 -0300] "GET /APS5CC/js/ocorrenciaController.js HTTP/1.1" 404 1114
192.168.15.2 - - [04/Jul/2018:12:42:21 -0300] "GET /favicon.ico HTTP/1.1" 404 1084
192.168.15.2 - - [04/Jul/2018:12:42:28 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11533
192.168.15.2 - - [04/Jul/2018:12:42:28 -0300] "GET /APS5CC/css/icons.css HTTP/1.1" 200 660
192.168.15.2 - - [04/Jul/2018:12:42:28 -0300] "GET /APS5CC/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
192.168.15.2 - - [04/Jul/2018:12:42:28 -0300] "GET /APS5CC/img/tiete01.jpg HTTP/1.1" 200 141574
192.168.15.2 - - [04/Jul/2018:12:42:28 -0300] "GET /APS5CC/css/fonts/flUhRq6tzZclQEJ-Vdg-IuiaDsNc.woff2 HTTP/1.1" 404 1136
192.168.15.2 - - [04/Jul/2018:12:42:36 -0300] "GET /APS5CC/Index.jsp HTTP/1.1" 200 11533
192.168.15.2 - - [04/Jul/2018:12:42:36 -0300] "GET /APS5CC/css/fonts/flUhRq6tzZclQEJ-Vdg-IuiaDsNc.woff2 HTTP/1.1" 404 1136
192.168.15.2 - - [04/Jul/2018:12:42:42 -0300] "GET /APS5CC/Cadastrar.jsp HTTP/1.1" 200 5523
192.168.15.2 - - [04/Jul/2018:12:42:43 -0300] "GET /APS5CC/img/cadastrar.jpg HTTP/1.1" 200 132401
192.168.15.2 - - [04/Jul/2018:12:42:43 -0300] "GET /APS5CC/CadGrupo.jsp HTTP/1.1" 200 2757
